ProductID,ProductName,Category,SubCategory,SupplierID,BaseCost,RetailPrice,Weight_kg,WarrantyPeriod,ProductRating
101,Samsung Galaxy Model 1,Laptop,Premium,8,561.99,762.41,3.64,24,3.3
102,Samsung Galaxy Model 2,Smartphone,Budget,11,672.06,843.76,1.48,36,3.5
103,Samsung Galaxy Model 3,Smartwatch,Mid-Range,1,488.64,625.76,0.22,12,4.1
104,Samsung Galaxy Model 4,Tablet,Premium,15,470.76,571.77,3.26,24,4.4
105,Samsung Galaxy Model 5,TV,Premium,6,269.3,343.51,0.97,36,4.3
106,Samsung Galaxy Model 6,Tablet,Premium,8,165.17,288.45,4.71,24,3.6
107,Samsung Galaxy Model 7,Tablet,Budget,5,728.05,915.12,4.77,12,4.9
108,Samsung Galaxy Model 8,Smartphone,Budget,4,730.29,1062.7,4.58,24,4.5
109,Samsung Galaxy Model 9,Tablet,Mid-Range,2,543.17,1018.93,1.91,24,4.1
110,Samsung Galaxy Model 10,Smartwatch,Budget,6,337.32,411.06,0.18,24,4.2
111,Samsung Galaxy Model 11,Tablet,Premium,6,344.45,637.77,4.65,24,3.8
112,Samsung Galaxy Model 12,Smartphone,Mid-Range,11,608.17,866.94,2.2,12,3.5
113,Samsung Galaxy Model 13,Smartwatch,Premium,15,727.98,942.39,4.84,24,3.7
114,Samsung Galaxy Model 14,Laptop,Premium,1,720.96,1267.01,4.82,24,4.5
115,Samsung Galaxy Model 15,Tablet,Budget,9,645.91,1100.08,4.28,36,3.0
116,Samsung Galaxy Model 16,Smartphone,Mid-Range,12,549.42,1044.98,1.54,24,3.2
117,Samsung Galaxy Model 17,Laptop,Budget,11,158.9,284.12,1.99,36,3.1
118,Samsung Galaxy Model 18,Laptop,Budget,6,213.14,392.77,4.27,12,3.1
119,Samsung Galaxy Model 19,TV,Mid-Range,13,728.99,1039.27,1.65,12,4.7
120,Samsung Galaxy Model 20,Smartwatch,Premium,3,524.5,703.85,0.93,12,4.4
121,Samsung Galaxy Model 21,Tablet,Premium,4,106.44,191.64,2.83,12,3.9
122,Samsung Galaxy Model 22,Smartphone,Mid-Range,12,171.03,315.63,4.69,36,3.2
123,Samsung Galaxy Model 23,TV,Premium,11,564.45,1124.61,3.51,24,4.0
124,Samsung Galaxy Model 24,Smartwatch,Mid-Range,4,103.54,158.43,2.89,12,3.9
125,Samsung Galaxy Model 25,TV,Mid-Range,3,212.57,318.35,0.58,24,3.3
126,Samsung Galaxy Model 26,Smartwatch,Budget,10,484.11,881.63,3.11,36,3.9
127,Samsung Galaxy Model 27,Smartwatch,Mid-Range,3,584.33,860.51,4.95,36,3.8
128,Samsung Galaxy Model 28,Tablet,Budget,15,556.37,1081.92,0.79,36,4.2
129,Samsung Galaxy Model 29,Smartwatch,Premium,3,256.99,484.87,2.64,12,4.3
130,Samsung Galaxy Model 30,TV,Premium,4,598.53,923.65,4.4,24,3.1
131,Samsung Galaxy Model 31,Smartwatch,Premium,7,266.07,479.11,3.73,24,3.7
132,Samsung Galaxy Model 32,Tablet,Premium,4,327.78,591.2,3.52,24,4.3
133,Samsung Galaxy Model 33,Tablet,Budget,9,622.54,798.41,3.54,36,4.0
134,Samsung Galaxy Model 34,TV,Premium,1,554.74,1066.23,1.86,12,4.7
135,Samsung Galaxy Model 35,Laptop,Mid-Range,8,694.46,1114.05,1.54,36,4.3
136,Samsung Galaxy Model 36,Laptop,Mid-Range,7,560.33,1042.87,4.07,36,3.3
137,Samsung Galaxy Model 37,Smartwatch,Mid-Range,2,497.82,724.85,4.07,24,3.1
138,Samsung Galaxy Model 38,Smartphone,Budget,8,165.57,317.3,4.35,36,4.3
139,Samsung Galaxy Model 39,Smartwatch,Premium,1,357.4,540.16,4.57,24,3.1
140,Samsung Galaxy Model 40,TV,Premium,11,285.64,345.24,2.61,12,4.2
141,Samsung Galaxy Model 41,TV,Premium,12,270.79,521.08,2.56,24,4.9
142,Samsung Galaxy Model 42,TV,Budget,9,781.11,994.38,4.01,12,4.2
143,Samsung Galaxy Model 43,TV,Mid-Range,9,375.17,546.04,3.28,24,3.8
144,Samsung Galaxy Model 44,TV,Mid-Range,2,724.43,1419.92,3.54,36,4.3
145,Samsung Galaxy Model 45,Tablet,Premium,7,541.8,1062.19,4.0,36,3.9
146,Samsung Galaxy Model 46,Laptop,Mid-Range,15,656.37,1088.75,4.46,12,4.1
147,Samsung Galaxy Model 47,TV,Mid-Range,14,451.85,770.62,1.76,12,4.9
148,Samsung Galaxy Model 48,Smartphone,Budget,10,503.83,785.35,1.94,12,3.8
149,Samsung Galaxy Model 49,Smartphone,Budget,3,444.76,638.04,0.56,24,4.9
150,Samsung Galaxy Model 50,Smartphone,Budget,7,236.67,346.23,2.93,24,4.8
